land_area_m2,built_up_area_m2,floors,daily_water_m3,daily_waste_kg,hazardous_waste_kg_per_month,avg_noise_db,distance_to_residential_m,vegetation_removed_percent,near_sensitive_zone,vehicles_per_day,fuel_consumption_l_per_day,final_pm25,final_no2,final_so2,final_co,impact_class_numeric,impact_label
7928,30446,4,164.16664637913246,62.59846590763265,0.0,83.86865359639776,337,67.11435168240506,0,909,454.5,144.02992329538165,65.45,14.402992329538165,1.4402992329538165,1,Moderate
5008,16786,4,90.54421245669313,36.291118267046095,0.0,83.35361592900519,526,29.651014364779847,0,721,360.5,123.91455591335232,56.050000000000004,12.391455591335232,1.2391455591335232,0,Low
5047,13898,3,77.78141279456048,29.4633589679595,0.0,44.69909699204345,449,5.076853103939694,0,835,417.5,134.973167948398,61.75,13.497316794839799,1.34973167948398,0,Low
9243,27227,3,110.8652005773278,53.70466979175399,0.0,41.86740943746072,174,83.89335020693633,0,1419,709.5,194.5852334895877,90.95,19.45852334895877,1.945852334895877,1,Moderate
4056,7372,2,37.187954626248036,16.33631397875437,0.0,60.56769525283393,54,45.72651616137286,0,263,131.5,77.11681569893771,33.15,7.711681569893772,0.7711681569893771,0,Low
9677,31438,3,134.45108903886168,53.63940046757959,0.0,61.9485710352818,155,32.2956472941246,0,2309,1154.5,283.581970023379,135.45,28.3581970023379,2.83581970023379,0,Low
3456,6681,2,28.814311764171052,12.02709824211013,0.0,87.7432640331597,609,18.286599710730734,0,350,175.0,85.6013549121055,37.5,8.56013549121055,0.8560135491210551,0,Low
13322,44558,4,227.63381574360596,93.09844240856822,10.514538957413196,44.70784941342801,705,15.864644764249103,0,1665,832.5,221.1549221204284,103.25,22.11549221204284,2.211549221204284,0,Low
6398,15136,2,74.61060566530793,32.085579568384695,0.0,71.29299578571182,807,63.50936508676438,1,414,207.0,93.00427897841924,40.7,9.300427897841924,0.9300427897841924,1,Moderate
8699,23990,3,137.0543825802157,51.02564817803079,0.0,68.77370889379395,841,94.38916045607571,0,795,397.5,132.05128240890153,59.75,13.205128240890154,1.3205128240890154,1,Moderate
10672,28234,3,143.74588885909222,66.43945392879712,0.0,41.94815661551168,466,65.1484771857788,0,1250,625.0,178.32197269643984,82.5,17.832197269643984,1.7832197269643986,1,Moderate
7524,22915,3,107.08427966835033,48.684707351799766,5.2486736235021425,74.83685826820754,467,26.06945282359031,0,1353,676.5,187.73423536759,87.65,18.773423536759,1.8773423536759,0,Low
6799,22692,4,127.23317854458597,41.42714281663047,0.0,60.630883845571326,506,56.85202837499583,0,768,384.0,128.87135714083155,58.400000000000006,12.887135714083156,1.2887135714083156,0,Low
5614,13642,2,75.75165122088465,25.546593516905332,0.0,77.72714370423412,86,23.85968597903402,0,975,487.5,148.77732967584527,68.75,14.877732967584528,1.4877732967584527,0,Low
7610,17503,2,101.360686136738,33.454557586307246,0.0,68.67189440616431,282,84.71431440955898,0,447,223.5,96.37272787931536,42.35,9.637272787931536,0.9637272787931537,0,Low
10042,30925,3,151.43635553435908,56.73403449181012,5.633671572578293,44.560305152434516,533,94.61945428816902,0,1813,906.5,234.13670172459052,110.65,23.413670172459053,2.341367017245905,1,Moderate
6101,17533,3,85.61470856115885,40.504093949041014,0.0,70.91090316581305,707,96.86519439741349,0,745,372.5,126.52520469745205,57.25,12.652520469745205,1.2652520469745205,0,Low
9982,17496,2,72.92706535957599,37.80492473920701,2.302866233869867,89.33197892505876,683,14.660482169202549,0,1156,578.0,167.49024623696036,77.80000000000001,16.749024623696037,1.6749024623696036,0,Low
2103,7427,4,43.77843036845983,17.74162392080997,0.0,75.254218214833,119,70.81811955831998,0,465,232.5,97.3870811960405,43.25,9.73870811960405,0.973870811960405,0,Low
2185,4636,2,21.60610144906508,9.0288950008381,0.0,45.87631233885524,803,46.86606419941263,1,174,87.0,67.8514447500419,28.700000000000003,6.785144475004191,0.6785144475004191,0,Low
10042,29708,3,176.00044414016338,56.44212414119217,0.0,40.60772373449082,873,52.83701212972092,0,1167,583.5,169.5221062070596,78.35,16.952210620705962,1.695221062070596,1,Moderate
11541,45294,4,185.0857701037788,104.76114895347234,13.53044362145898,66.15489220850745,278,25.29901679892411,0,3381,1690.5,393.33805744767363,189.05,39.33380574476737,3.9333805744767365,0,Low
10402,27423,3,144.11105046029056,56.69572110069375,0.0,62.782837639285646,61,95.87024074078462,1,1921,960.5,244.93478605503472,116.05000000000001,24.493478605503473,2.4493478605503474,2,High
11918,36353,3,165.57927628982625,63.635814815550326,7.607964614831533,89.31053722398013,227,26.593792496423895,0,1551,775.5,208.28179074077755,97.55000000000001,20.828179074077756,2.0828179074077755,0,Low
8183,18606,2,104.70694027333496,39.96168655722998,0.0,76.28597541941801,607,7.620037959916315,0,616,308.0,113.5980843278615,50.8,11.359808432786151,1.135980843278615,0,Low
11252,34133,3,165.08377911541538,80.08225705785804,0.0,80.52766653909165,926,16.483426113700094,0,2331,1165.5,287.1041128528929,136.55,28.710411285289293,2.8710411285289292,0,Low
4073,15985,4,90.8625419726486,36.29654747584603,0.0,83.23611881275266,148,13.38521188006332,1,774,387.0,129.2148273737923,58.7,12.92148273737923,1.292148273737923,1,Moderate
12707,44884,4,269.2786560955494,107.60083823618012,14.344779477678097,62.52720676550467,726,75.70812020424559,0,2847,1423.5,340.080041911809,162.35,34.0080041911809,3.4008004191180903,1,Moderate
4762,15139,3,79.27168686458418,28.56018031063934,0.0,66.00817505559966,203,49.816518664589296,0,464,232.0,97.82800901553198,43.2,9.782800901553198,0.9782800901553198,0,Low
8570,31112,4,158.78985113590358,63.74072173632716,0.0,77.75686278368096,874,58.99558971376361,0,2141,1070.5,267.2870360868164,127.05000000000001,26.72870360868164,2.672870360868164,1,Moderate
10478,21295,2,90.98806114524054,34.31978292431804,0.0,85.20793472468742,147,63.66443216222826,0,905,452.5,142.2159891462159,65.25,14.22159891462159,1.422159891462159,0,Low
9255,21940,2,110.3138587843325,48.85867767963254,0.0,62.96734039730862,808,52.36022760150112,0,983,491.5,150.74293388398164,69.15,15.074293388398164,1.5074293388398163,0,Low
8421,14025,1,57.38640852264996,29.405439779215865,0.0,66.8631708357035,175,63.34008543167258,0,594,297.0,110.8702719889608,49.7,11.087027198896081,1.108702719889608,0,Low
11172,29609,3,153.064679262097,56.85639774091562,8.79284964620363,65.76180274321055,949,34.56672833238632,0,1006,503.0,153.4428198870458,70.30000000000001,15.34428198870458,1.534428198870458,0,Low
10152,20909,2,118.00164085156116,39.22666613211063,4.006724736748349,84.71086314479629,887,12.06358711006008,0,555,277.5,107.46133330660552,47.75,10.746133330660554,1.0746133330660552,0,Low
8205,14948,2,69.66065504992041,27.76241533314966,0.0,53.843882407360184,96,62.79003894909078,1,442,221.0,95.58812076665748,42.1,9.558812076665749,0.9558812076665748,1,Moderate
11228,22021,2,97.3041628983954,41.76013294045522,5.123068288165252,46.65584642937391,127,46.25347161331479,0,1231,615.5,175.18800664702277,81.55000000000001,17.51880066470228,1.7518800664702279,0,Low
11515,37054,3,210.79580936753297,81.50742388867695,4.447927194882483,76.87026030469096,855,53.261726645502314,0,2533,1266.5,307.37537119443385,146.65,30.737537119443388,3.0737537119443386,1,Moderate
5519,19878,4,83.05840729227651,40.31792027320046,0.0,72.4411420145788,574,59.359245355404866,0,728,364.0,124.81589601366002,56.4,12.481589601366004,1.2481589601366003,0,Low
7417,20018,3,103.46101057001648,43.82856984996429,5.85818537172113,84.98236985725062,797,12.758030279556376,0,1087,543.5,160.8914284924982,74.35,16.08914284924982,1.608914284924982,0,Low
2169,5955,3,27.754450412055686,13.976107848392044,0.0,82.5408758918073,326,15.285913918433202,0,151,75.5,65.7988053924196,27.55,6.57988053924196,0.657988053924196,0,Low
8690,14944,2,83.8616897349193,24.575748595960516,0.0,89.86277673841971,948,52.451138957025464,0,1002,501.0,151.428787429798,70.1,15.142878742979802,1.5142878742979802,0,Low
7847,29767,4,119.38353058087506,70.84705939151044,0.0,63.8309742063206,996,82.08614731533525,0,1474,737.0,200.94235296957552,93.7,20.094235296957553,2.009423529695755,1,Moderate
9315,33500,4,147.74019653001375,79.54224098231347,0.0,70.53100212208163,773,50.7610378684455,0,2028,1014.0,256.77711204911566,121.4,25.677711204911567,2.5677711204911566,1,Moderate
8777,16552,2,82.13566193180188,33.535536230075074,0.0,89.49801161949726,739,45.426797221909965,0,456,228.0,97.27677681150375,42.8,9.727677681150375,0.9727677681150375,0,Low
1676,3864,2,21.71470971756462,6.969545192005747,0.0,60.592045707363425,834,11.669606414168133,0,228,114.0,73.14847725960028,31.4,7.314847725960028,0.7314847725960029,0,Low
11154,39892,4,236.56170704061708,67.79397187142828,10.821959951926065,42.404732198204385,637,37.922858496380044,0,2868,1434.0,340.18969859357145,163.4,34.01896985935715,3.4018969859357147,0,Low
9593,33132,4,187.3906749479293,72.90370381705948,12.388567918347656,85.3933065231258,214,81.45747202313821,0,2195,1097.5,273.145185190853,129.75,27.3145185190853,2.7314518519085302,1,Moderate
9140,29316,3,143.7626503913653,63.64579715723098,0.0,51.61063475734086,686,30.13778741641421,0,2051,1025.5,258.2822898578616,122.55000000000001,25.82822898578616,2.582822898578616,0,Low
1585,5942,4,28.330163274799244,12.091032880591456,0.0,71.38540265357089,996,54.28493106134089,0,417,208.5,92.30455164402957,40.85,9.230455164402958,0.9230455164402958,0,Low
5750,20039,4,105.00727591210298,40.61442145769081,0.0,78.92859695253756,469,99.76926159238432,0,1396,698.0,191.63072107288454,89.8,19.163072107288453,1.9163072107288455,0,Low
9199,17090,2,75.35133419453226,37.10668413216125,4.604836458123092,62.85001096408392,167,82.12573046720128,0,1072,536.0,159.05533420660805,73.6,15.905533420660806,1.5905533420660805,0,Low
7610,21685,3,107.83332399414951,41.79055441207914,0.0,75.80895373664761,460,64.11476328852973,0,1379,689.5,189.98952772060397,88.95,18.9989527720604,1.8998952772060398,0,Low
12511,37502,3,212.0212192809921,88.77697835659214,0.0,69.31149160083986,183,40.08514167636399,0,1579,789.5,212.3388489178296,98.95,21.233884891782964,2.123388489178296,0,Low
12391,19147,1,109.98511296910733,44.91301500377099,0.0,78.5623334259869,373,79.00846371240867,1,1019,509.5,154.14565075018857,70.95,15.414565075018857,1.5414565075018858,1,Moderate
5258,12808,2,52.99749415243068,21.28506256542431,0.0,89.24205994811672,346,92.55685129067763,0,386,193.0,89.66425312827121,39.3,8.966425312827122,0.8966425312827121,0,Low
10077,25167,2,103.42437232846814,47.01592718440192,0.0,66.86978014689615,166,60.3721531730139,0,1639,819.5,216.2507963592201,101.95,21.62507963592201,2.162507963592201,0,Low
8547,32475,4,152.39517233406917,60.973844185264,0.0,52.411322137857596,578,58.706822413656724,1,2009,1004.5,253.9486922092632,120.45,25.394869220926324,2.539486922092632,1,Moderate
5111,8099,1,37.4412424260084,18.015387788332614,0.0,88.77706578413782,715,1.3094456588333636,0,314,157.0,82.30076938941663,35.7,8.230076938941663,0.8230076938941663,0,Low
10554,27941,3,142.90733862431367,63.943135369508,8.32926208896033,61.33944526683747,376,59.53850173200438,1,956,478.0,148.79715676847542,67.80000000000001,14.879715676847542,1.4879715676847542,2,High
3865,10321,3,54.18475432470783,19.63240760282399,0.0,66.219513466379,68,6.570863942835237,0,689,344.5,119.8816203801412,54.45,11.98816203801412,1.198816203801412,0,Low
7257,18882,3,90.66241623089581,38.66490298860942,0.0,58.66546581398765,946,33.43628113104822,1,618,309.0,113.73324514943049,50.900000000000006,11.37332451494305,1.1373324514943048,1,Moderate
6666,16810,3,68.09348927730079,28.99594012938053,0.0,51.55373982940357,398,40.79844953648447,0,1022,511.0,153.64979700646902,71.1,15.364979700646902,1.5364979700646901,0,Low
7346,23358,3,94.35279748173288,39.318214606396545,6.683601577091579,52.1586095499727,658,55.672158478336605,0,792,396.0,131.1659107303198,59.6,13.116591073031982,1.311659107303198,0,Low
6421,22958,4,110.06907894596098,49.00311885231112,0.0,44.2754265427234,784,32.39900611067996,1,809,404.5,133.35015594261557,60.45,13.335015594261558,1.3335015594261557,1,Moderate
5888,11892,2,48.19904193693493,20.753304155270296,0.0,57.0908675848938,749,70.39461351385094,0,643,321.5,115.33766520776351,52.15,11.533766520776352,1.1533766520776352,0,Low
3591,10685,3,48.46852000438487,22.4312248642944,0.0,87.42266534810784,783,36.275789466594546,0,485,242.5,99.62156124321471,44.25,9.962156124321472,0.9962156124321472,0,Low
4683,15964,4,68.3295334758713,36.63377821378742,0.0,65.62288279409609,776,79.98552559473153,0,788,394.0,130.63168891068938,59.400000000000006,13.063168891068939,1.3063168891068937,0,Low
11739,29422,3,130.51735173738203,62.25822697928737,7.051092240285884,85.71494032802495,78,17.16792858483035,0,930,465.0,146.11291134896436,66.5,14.611291134896437,1.4611291134896436,1,Moderate
7114,12765,2,65.77846561987889,23.22265191365775,0.0,40.549791432924025,202,49.74648939798906,0,672,336.0,118.36113259568289,53.6,11.83611325956829,1.1836113259568288,0,Low
5512,16543,3,88.17540341403742,28.78973364981418,0.0,48.31416843780397,971,40.43815015490243,0,1169,584.5,168.3394866824907,78.45,16.83394866824907,1.683394866824907,0,Low
6965,23298,4,97.0500867306392,48.518590277078324,0.0,75.95229525921228,198,83.70789907030294,0,868,434.0,139.22592951385394,63.400000000000006,13.922592951385395,1.3922592951385395,0,Low
8647,23261,3,123.91930995500113,54.650877253146554,0.0,69.75389653501274,338,26.99112223921949,0,1433,716.5,196.03254386265735,91.65,19.603254386265736,1.9603254386265736,0,Low
6492,10572,1,52.78316793082294,21.963058078999484,2.199305601934525,64.77456581030992,550,34.43837320442332,0,671,335.5,118.19815290394999,53.550000000000004,11.819815290394999,1.1819815290395,0,Low
3746,7926,2,44.68840993977142,17.750536205366505,0.0,44.579103666331704,527,0.5253818558384915,0,473,236.5,98.18752681026834,43.650000000000006,9.818752681026835,0.9818752681026834,0,Low
13624,51679,4,220.85730005452203,121.97225296648422,14.258661992885227,77.95179227694248,367,95.81707930039303,0,1770,885.0,233.0986126483242,108.5,23.30986126483242,2.3309861264832423,1,Moderate
6675,26375,4,153.15244111655034,55.84462979337214,0.0,69.41318784849655,538,94.40593396866133,1,1573,786.5,210.09223148966862,98.65,21.009223148966864,2.1009223148966862,2,High
7735,30927,4,158.0868602882153,61.19117545752112,0.0,88.55291225826838,384,69.742026724684,0,1256,628.0,178.65955877287607,82.80000000000001,17.865955877287607,1.7865955877287607,1,Moderate
4920,17983,4,102.30706366771234,33.363507048266776,0.0,84.24991782616405,322,65.01673504432281,0,1194,597.0,171.06817535241333,79.7,17.106817535241333,1.7106817535241334,0,Low
8863,25043,3,122.26153685331843,48.17242329310607,0.0,76.89278834532625,937,53.949129237533725,0,1342,671.0,186.60862116465532,87.10000000000001,18.660862116465534,1.8660862116465533,1,Moderate
500,1845,4,8.920597450062923,3.633827647449567,0.0,43.501485287373555,300,87.47016726841994,0,137,68.5,63.88169138237248,26.85,6.388169138237249,0.6388169138237249,0,Low
6459,9841,1,40.400923259703816,16.442684563078895,0.0,78.41367069322591,797,62.75054632183701,0,264,132.0,77.22213422815395,33.2,7.722213422815395,0.7722213422815395,0,Low
6636,22190,4,99.35692972919726,37.46513645630852,3.866151951781763,85.51695510287672,373,71.55533152342419,0,873,436.5,139.17325682281543,63.650000000000006,13.917325682281543,1.3917325682281543,0,Low
1482,2390,1,10.083255121686172,4.5727968287131615,0.0,89.11652575400407,236,94.99611839502253,0,74,37.0,57.62863984143566,23.7,5.762863984143566,0.5762863984143566,0,Low
5486,20623,4,123.29192079016181,45.26093221322817,0.0,81.53212588753124,633,94.27317741351257,0,582,291.0,110.46304661066141,49.1,11.046304661066142,1.1046304661066142,0,Low
11856,21350,2,87.40456675021161,40.72026764427055,2.260373530679173,84.18929424817128,937,35.01252591667301,1,1555,777.5,207.53601338221353,97.75,20.753601338221355,2.0753601338221355,1,Moderate
6753,22930,4,123.63950554394691,39.511066505898306,0.0,84.746072061392,830,22.38176148226231,0,1508,754.0,202.77555332529494,95.4,20.277555332529495,2.0277555332529493,0,Low
2652,9680,4,47.57588541289898,18.51721866852646,0.0,80.4758037362439,590,88.87480798689772,0,374,187.0,88.32586093342633,38.7,8.832586093342632,0.8832586093342633,0,Low
6317,10849,2,52.25861781720803,20.593038176853277,0.0,51.009160097490565,950,4.878358167317309,0,412,206.0,92.22965190884267,40.6,9.222965190884267,0.9222965190884267,0,Low
14020,44978,3,186.76042759630946,102.5932676640684,12.749468410035204,73.90080762795318,398,90.651371944458,0,2205,1102.5,275.6296633832034,130.25,27.562966338320344,2.7562966338320343,1,Moderate
1721,6361,4,35.58885384688334,13.528329696209793,0.0,86.50451752548693,620,16.04001053300721,0,429,214.5,93.5764164848105,41.45,9.35764164848105,0.935764164848105,0,Low
8425,14866,2,80.24639262339302,26.03597392835512,0.0,40.25725853773574,606,87.1843527745232,1,1026,513.0,153.90179869641779,71.30000000000001,15.390179869641779,1.5390179869641778,1,Moderate
8916,33628,4,134.58733421770626,68.76742350873356,11.243155389549122,71.59067635083342,273,8.409822446798465,0,1275,637.5,180.93837117543669,83.75,18.093837117543668,1.809383711754367,0,Low
6277,13492,2,71.07600989243991,27.41558619450106,0.0,88.14960019294973,375,28.33429482655816,1,863,431.5,137.67077930972508,63.150000000000006,13.767077930972508,1.3767077930972509,1,Moderate
12417,47557,4,199.97811026810547,111.74862013400313,17.11797304824985,69.10852300881366,780,16.637758693227234,0,1350,675.0,190.58743100670017,87.5,19.058743100670018,1.9058743100670017,0,Low
7117,16829,2,88.21477449701774,27.542234149624626,4.977722325240945,77.91315979645113,334,44.59583070103215,0,1239,619.5,175.27711170748123,81.95,17.527711170748123,1.7527711170748124,0,Low
4737,16229,4,87.09440133389393,31.755644017430598,0.0,48.181191059583455,334,94.43036349578298,0,627,313.5,114.28778220087153,51.35,11.428778220087153,1.1428778220087155,0,Low
929,3239,4,17.449673458612484,5.754458220658236,0.0,88.1618326720066,133,65.45112142811352,0,94,47.0,59.68772291103291,24.7,5.968772291103291,0.596877229110329,0,Low
3806,8760,2,47.73188522419933,19.242825780312998,0.0,47.962286913963226,842,71.49240402022477,0,306,153.0,81.56214128901564,35.3,8.156214128901565,0.8156214128901564,0,Low
8866,17814,2,74.50400846419181,30.692211433441653,3.6233397155688767,85.59180174799556,248,62.62203216314154,0,917,458.5,143.23461057167208,65.85,14.323461057167208,1.4323461057167208,0,Low
10776,22832,2,116.82735628083914,40.650826025820294,0.0,61.662337448582775,775,58.19714019143988,0,754,377.0,127.43254130129102,57.7,12.743254130129102,1.2743254130129102,1,Moderate
8002,31694,4,136.25761777741167,62.490390337420294,0.0,83.00611985946023,387,47.99388347171235,0,1870,935.0,240.124519516871,113.5,24.0124519516871,2.40124519516871,0,Low
8066,16979,2,101.42108834216576,29.101945458339834,3.6328896476499777,56.3230654121996,709,34.601656764483955,0,949,474.5,146.355097272917,67.45,14.6355097272917,1.46355097272917,0,Low
9904,27674,3,115.55923499466824,52.04099975542629,2.86123843424495,74.47324845686329,967,32.209470221933536,0,800,400.0,132.60204998777132,60.0,13.260204998777134,1.3260204998777132,0,Low
6357,12197,2,51.33882789711736,25.72523180294699,0.0,75.45302597254582,951,59.47766373769361,0,735,367.5,124.78626159014735,56.75,12.478626159014736,1.2478626159014734,0,Low
8645,31791,4,172.56707531884405,71.2557899910974,0.0,69.8737931315965,300,48.43984475740406,0,1334,667.0,186.96278949955487,86.7,18.696278949955488,1.8696278949955487,0,Low
7298,11690,1,50.594307865534454,22.80585468861016,0.0,50.960699367902215,61,24.710323401014644,0,715,357.5,122.6402927344305,55.75,12.26402927344305,1.2264029273443051,0,Low
10497,41354,4,193.27997714580474,72.19144342831238,0.0,75.96008891361319,744,4.366165770736119,0,2666,1333.0,320.20957217141563,153.3,32.020957217141564,3.2020957217141564,0,Low
10076,20140,2,107.95959360513241,33.38726076547248,1.822873500912544,77.13532605999904,381,17.419333657825366,0,762,381.0,127.86936303827363,58.1,12.786936303827364,1.2786936303827363,0,Low
10240,26252,3,123.17097084868574,49.79560768469743,9.866871915099367,76.26288302075682,738,51.3995867808725,0,708,354.0,123.28978038423487,55.4,12.328978038423488,1.2328978038423488,1,Moderate
12157,45610,4,220.90938294939662,83.07689266551257,11.535438333615408,76.65565112076405,317,38.38471518677963,0,3220,1610.0,376.15384463327564,181.0,37.615384463327565,3.7615384463327564,0,Low
7422,13574,2,73.72921614118935,31.589765948412328,0.0,82.71925466847895,989,37.28486371889345,0,461,230.5,97.6794882974206,43.05,9.76794882974206,0.976794882974206,0,Low
1699,6247,4,30.551643856003302,12.56805120799902,0.0,88.47061611676438,179,9.526150795462629,0,268,134.0,77.42840256039995,33.4,7.742840256039995,0.7742840256039994,0,Low
9899,21236,2,112.83691961639776,39.502188963100494,6.558191683467837,43.67483736650063,350,23.702785710833616,0,669,334.5,118.87510944815503,53.45,11.887510944815503,1.1887510944815503,0,Low
7653,17927,2,101.42678420035509,34.86281650934816,0.0,48.380960814415886,732,94.85833548514337,0,671,335.5,118.84314082546742,53.550000000000004,11.884314082546743,1.188431408254674,1,Moderate
7434,11832,1,64.75421728451332,25.214508136656956,3.055863018608193,50.292060501838414,605,44.636864651258556,0,795,397.5,130.76072540683285,59.75,13.076072540683285,1.3076072540683286,0,Low
9346,15352,1,77.71702918774369,36.0662164704898,2.0161567216943883,65.36174043441963,247,18.001043747272348,1,477,238.5,99.50331082352449,43.85,9.950331082352449,0.9950331082352449,0,Low
3898,6252,1,26.862883384829964,14.937929222990967,0.0,69.0056114847734,860,1.7379790185479638,0,457,228.5,96.44689646114955,42.85,9.644689646114955,0.9644689646114956,0,Low
10296,24263,2,122.879720327785,41.26149304077178,2.884475366784472,49.417454188280075,995,20.185345212294838,0,780,390.0,130.06307465203858,59.0,13.006307465203859,1.300630746520386,0,Low
1651,5492,3,23.68330367119724,9.817768498395903,0.0,58.71483835698963,224,69.26259522261645,0,401,200.5,90.59088842491978,40.05,9.05908884249198,0.9059088842491978,0,Low
7867,26915,4,113.74870156089193,60.19292932336695,0.0,73.34857584954537,50,21.567515239771716,0,1909,954.5,243.90964646616834,115.45,24.390964646616837,2.4390964646616835,1,Moderate
5333,15694,3,73.71703026739097,27.11028573251247,0.0,44.52408476435254,624,97.71741842213173,0,867,433.5,138.05551428662562,63.35,13.805551428662563,1.3805551428662564,0,Low
8791,27483,3,151.99148106117323,64.32505710167568,7.444072035582733,46.01045276853042,446,79.78136488586345,0,1925,962.5,245.71625285508378,116.25,24.57162528550838,2.457162528550838,1,Moderate
9346,26740,3,107.26797316343954,49.727540073226585,5.2198616027533635,51.87720654371637,966,38.04197042327977,0,1198,599.0,172.28637700366133,79.9,17.228637700366132,1.7228637700366134,0,Low
4913,8268,2,43.05062594015447,17.648626734762303,0.0,65.9540892568109,991,50.04453091307415,0,462,231.0,97.08243133673813,43.1,9.708243133673813,0.9708243133673813,0,Low
